line_id,ip,name_ja,name_en,aliases,maker,line_type,acquisition_type,release_date,source_url,notes
ichiban-kuji-kh-2018,kingdom-hearts,一番くじ KINGDOM HEARTS,Ichiban Kuji Kingdom Hearts (2018),一番くじKH|一番くじキングダムハーツ|KH一番くじ|Ichiban Kuji Kingdom Hearts|KH Kuji 2018|セブンイレブン一番くじKH,BANDAI SPIRITS,kuji,kuji,2018-12-01,https://1kuji.com/products/disney_kh,セブン-イレブン店頭限定のくじ。キングダム ハーツⅢの新衣装スタチュー・ぬいぐるみが中心。公式ページに弾番号の記載はなく、当データでは便宜上「2018」を付けて区別している。ダブルチャンスキャンペーン(〜2019年02月末)でA賞相当が別途50個当選。
ichiban-kuji-kh-second-memory,kingdom-hearts,一番くじ KINGDOM HEARTS～Second Memory～,Ichiban Kuji Kingdom Hearts -Second Memory-,一番くじKHセカンドメモリー|一番くじKH2|KHセカメモ|Ichiban Kuji KH Second Memory|Second Memory一番くじ|一番くじキングダムハーツセカンドメモリー|Second Memory|セカンドメモリー,BANDAI SPIRITS,kuji,kuji,2020-11-04,https://1kuji.com/products/disney_kh2,セブン-イレブン・イトーヨーカドー店頭限定のくじ。前作「一番くじ KINGDOM HEARTS」(2018年、line_id: ichiban-kuji-kh-2018)の続編的位置づけだが、公式ページに「第2弾」等の表記はない。ダブルチャンスキャンペーン(〜2021年02月末)でA賞相当が別途50個当選。
ichiban-kuji-kh-20th-anniversary,kingdom-hearts,一番くじ KINGDOM HEARTS～20th Anniversary～,Ichiban Kuji Kingdom Hearts -20th Anniversary-,一番くじKH20th|一番くじKH20周年|KH20周年一番くじ|Ichiban Kuji KH 20th Anniversary|KH20thくじ|一番くじキングダムハーツ20周年|20th Anniversary|20周年|20th Anniv|20th,BANDAI SPIRITS,kuji,kuji,2022-07-16,https://1kuji.com/products/disney_kh3,セブン-イレブン・イトーヨーカドー店頭限定のくじ。KH20周年記念。当初発売日は2022年6月25日の予定だったが、製造・物流の混乱により2022年7月16日に延期(公式ページに掲載の告知による)。ダブルチャンスキャンペーン(〜2022年10月末)はラストワン賞相当が対象(前2作のA賞対象とは異なる)。
ichiban-kuji-kh-linking-hearts,kingdom-hearts,一番くじ KINGDOM HEARTS -Linking Hearts-,Ichiban Kuji Kingdom Hearts -Linking Hearts-,一番くじKHリンキングハーツ|一番くじKHリンキング|KHリンキングハーツ|Ichiban Kuji KH Linking Hearts|Linking Hearts一番くじ|一番くじキングダムハーツリンキングハーツ|Linking Hearts|リンキングハーツ,BANDAI SPIRITS,kuji,kuji,2024-05-31,https://1kuji.com/products/disney_kh4,セブン-イレブン・イトーヨーカドー・ゆめタウン等店頭限定のくじ。KH20周年記念企画の一つ(野村哲也氏描き下ろしイラスト使用のB賞タオルなど)。セブンイレブンは店舗により2024年6月1日・2日以降発売の場合あり。ダブルチャンスキャンペーン(〜2024年08月末)はA賞相当が対象。オンライン販売なし(公式ページに明記)。
ichiban-kuji-kh-25th-anniversary,kingdom-hearts,一番くじ KINGDOM HEARTS -25th Anniversary-,Ichiban Kuji Kingdom Hearts -25th Anniversary-,一番くじKH25th|一番くじKH25周年|KH25周年一番くじ|Ichiban Kuji KH 25th Anniversary|KH25thくじ|一番くじキングダムハーツ25周年|25th Anniversary|25周年|25th Anniv|25th,BANDAI SPIRITS,kuji,kuji,2026-08-15,https://1kuji.com/products/disney_kh5,セブン-イレブン・イトーヨーカドー・ゆめタウン等店頭限定のくじ。KH25周年記念。ダブルチャンスキャンペーン(〜2026年11月末)はラストワン賞相当が対象。オンライン販売なし(公式ページに明記)。
kh-bbs-358-ost-signed-lottery-2026,kingdom-hearts,【抽選応募】【サイン入り商品】KINGDOM HEARTS Birth by Sleep & 358/2 Days Original Soundtrack,[Lottery][Signed] Kingdom Hearts Birth by Sleep & 358/2 Days Original Soundtrack,BbSサントラサイン入り|KH BbS 358/2 Daysサントラ|下村陽子サイン入りサントラ|SQEX-11140-2S|Signed BbS OST,スクウェア・エニックス,music,retail,2026-10-10,https://store.jp.square-enix.com/estore/g/gSQEX-11140-2S/,2011年発売の同内容サントラ(SQEX-10213-5、当データ未収録)に、作曲者・下村陽子氏のサイン入り。抽選販売(応募〜2026-09-22)、1人1点まで、サイン記入のため開封済み。
kh2-form-ism,kingdom-hearts,キングダム ハーツII フォルミズム,Kingdom Hearts II FORM-ISM,KH2フォルミズム|フォルミズムシリーズ|FORM-ISM|KH2 FORM-ISM,スクウェア・エニックス,figure,retail,2026-05-30,https://store.jp.square-enix.com/estore/g/gMKH09706/,キャラクター別に個別発売される継続フィギュアシリーズ。release_dateは判明している中で最も早いロクサスの発売日。アクセル版のURLはhttps://store.jp.square-enix.com/estore/g/gMKH09712/ 。各キャラの発売日はcatalog.csvの各行のnotesを参照。
kh-quilted-backpack-2026,kingdom-hearts,キングダム ハーツ / キルティングリュック,Kingdom Hearts Quilted Backpack,KHキルティングリュック|モノグラムリュック|MKH09709|KH Quilted Monogram Backpack,スクウェア・エニックス,other,retail,2026-07-18,https://store.jp.square-enix.com/estore/g/gMKH09709/,特定キャラクター・タイトル限定ではないシリーズ全般向けグッズ。モノグラムのキルティングデザイン。
kh-mini-clear-poster-box-2026,kingdom-hearts,キングダム ハーツ / ミニクリアポスターコレクション 12個入りBOX,Kingdom Hearts Mini Clear Poster Collection (Box of 12),KHミニクリアポスター|ミニクリアポスターコレクション|MKH09700-BOX|KH Mini Clear Poster Box,スクウェア・エニックス,other,retail,2026-02-28,https://store.jp.square-enix.com/estore/g/gMKH09700-BOX/,ブラインド仕様(外から中身が分からない)。1箱12個入りだが全12種類が必ず揃うとは限らないと公式に明記。個別キャラクターの内訳は公式ページに記載なし。
kh-donald-wand-replica-2026,kingdom-hearts,キングダム ハーツ / ライトアップ まどうしの杖,Kingdom Hearts Light-Up Sorcerer's Wand (Donald),まどうしの杖|ドナルド杖レプリカ|MKH09671|KH Light-Up Wand,スクウェア・エニックス,other,retail,2026-03-08,https://store.jp.square-enix.com/estore/g/gMKH09671/,ドナルドダックが所持する杖の手持ちサイズ復刻版(元となった過去商品については公式ページに記載なし)。ボタン押下で先端が発光。単4電池3本使用(別売)。
