proxy,fee_type,fee_value,shipping_method,dest_country,weight_from_g,weight_to_g,shipping_jpy,duty_note,updated,source_url
zenmarket,per_item,800,,,,,,"mercari/yahoo auctions rate; recommended stores 300, amazon/rakuten 500",2026-08,https://toriipost.com/guides/japan-proxy-shopping-services-compared/
zenmarket,percent,1,,,,,,1% deposit fee on all payments,2026-08,https://toriipost.com/guides/japan-proxy-shopping-services-compared/
buyee,per_order,500,,,,,,per order regardless of item count; protection plan +500 optional,2026-08,https://toriipost.com/guides/japan-proxy-shopping-services-compared/
fromjapan,per_item,500,,,,,,One Map; inspection + guarantees included,2026-08,https://toriipost.com/guides/japan-proxy-shopping-services-compared/
neokyo,per_item,350,,,,,,domestic shipping included; packing fee 500 under 2kg,2026-08,https://toriipost.com/guides/japan-proxy-shopping-services-compared/
any,,,small_packet_air,US,0,500,1670,US: ~10% duty surcharge + carrier disbursement fee ~$15/parcel on non-DDP; de minimis abolished 2025-08,2026-07-12,https://otakushoppingguide.com/cheapest-shipping-from-japan-2026/
any,,,small_packet_air,US,501,1000,2720,US: ~10% duty surcharge + carrier disbursement fee ~$15/parcel on non-DDP; de minimis abolished 2025-08,2026-07-12,https://otakushoppingguide.com/cheapest-shipping-from-japan-2026/
any,,,small_packet_air,US,1001,2000,4820,US: ~10% duty surcharge + carrier disbursement fee ~$15/parcel on non-DDP; de minimis abolished 2025-08,2026-07-12,https://otakushoppingguide.com/cheapest-shipping-from-japan-2026/
any,,,ems,US,0,500,3900,US: ~10% duty surcharge + carrier disbursement fee ~$15/parcel on non-DDP; de minimis abolished 2025-08,2026-07-12,https://otakushoppingguide.com/cheapest-shipping-from-japan-2026/
any,,,ems,US,501,1000,5300,US: ~10% duty surcharge + carrier disbursement fee ~$15/parcel on non-DDP; de minimis abolished 2025-08,2026-07-12,https://otakushoppingguide.com/cheapest-shipping-from-japan-2026/
any,,,ems,US,1001,2000,7900,US: ~10% duty surcharge + carrier disbursement fee ~$15/parcel on non-DDP; de minimis abolished 2025-08,2026-07-12,https://otakushoppingguide.com/cheapest-shipping-from-japan-2026/
